GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WalletApp,com.example.WalletApp.service.impl,UserServiceImpl,178,225,8,12,35,53,20,17,14,13
WalletApp,com.example.WalletApp.service.impl,SavingsGoalServiceImpl,19,293,6,8,4,67,8,21,2,20
WalletApp,com.example.WalletApp.service.impl,CategoryServiceImpl,18,186,4,6,4,42,6,14,2,13
WalletApp,com.example.WalletApp.service.impl,TransactionServiceImpl,51,341,14,14,10,78,16,21,2,21
WalletApp,com.example.WalletApp.service.impl,WalletServiceImpl,45,319,9,15,4,76,15,22,6,19
WalletApp,com.example.WalletApp.service.impl,CurrencyServiceImpl,5,122,0,4,1,27,1,13,1,11
WalletApp,com.example.WalletApp.config,SecurityConfig,0,45,0,0,0,11,0,2,0,2
WalletApp,com.example.WalletApp.dto,TransactionDTO,21,73,0,0,8,21,1,21,1,21
WalletApp,com.example.WalletApp.dto,CurrencyDTO,9,24,0,0,4,7,1,7,1,7
WalletApp,com.example.WalletApp.dto,LoginDTO,9,17,0,0,4,5,1,5,1,5
WalletApp,com.example.WalletApp.dto,CategoryDTO,15,38,0,0,6,11,1,11,1,11
WalletApp,com.example.WalletApp.dto,SavingsGoalDTO,18,66,0,0,7,19,1,19,1,19
WalletApp,com.example.WalletApp.dto,WalletDTO,15,66,0,0,6,19,1,19,1,19
WalletApp,com.example.WalletApp.dto,UserDTO,24,87,0,0,9,25,1,25,1,25
WalletApp,com.example.WalletApp.entity,Role,0,15,0,0,0,2,0,1,0,1
WalletApp,com.example.WalletApp.entity,SavingsGoal,107,109,10,4,21,29,10,22,4,21
WalletApp,com.example.WalletApp.entity,Transaction,0,137,1,7,0,39,1,28,0,25
WalletApp,com.example.WalletApp.entity,Wallet,41,126,0,0,13,40,7,23,7,23
WalletApp,com.example.WalletApp.entity,CategoryType,0,15,0,0,0,2,0,1,0,1
WalletApp,com.example.WalletApp.entity,User,80,135,0,0,26,39,11,28,11,28
WalletApp,com.example.WalletApp.entity,TransactionType,0,15,0,0,0,2,0,1,0,1
WalletApp,com.example.WalletApp.entity,Currency,50,53,0,0,16,13,8,8,8,8
WalletApp,com.example.WalletApp.entity,Category,48,66,0,0,14,18,5,12,5,12
WalletApp,com.example.WalletApp.entity,Frequency,0,27,0,0,0,2,0,1,0,1
WalletApp,com.example.WalletApp.controller,AuthController,14,42,0,2,4,9,0,4,0,3
WalletApp,com.example.WalletApp.controller,HomeController,12,3,0,0,5,1,2,1,2,1
WalletApp,com.example.WalletApp.controller,CurrencyController,89,69,3,1,21,16,6,5,4,5
WalletApp,com.example.WalletApp.controller,TransactionController,21,278,0,2,6,64,0,16,0,15
WalletApp,com.example.WalletApp.controller,CategoryController,180,42,2,0,45,10,10,3,9,3
WalletApp,com.example.WalletApp.controller,SavingsGoalController,257,42,2,0,61,10,14,3,13,3
WalletApp,com.example.WalletApp.controller,UserController,35,219,0,2,10,51,0,15,0,14
WalletApp,com.example.WalletApp.controller,WalletController,49,250,0,2,14,57,0,18,0,17
WalletApp,com.example.WalletApp,DemoAplication,5,3,0,0,2,1,1,1,1,1
WalletApp,com.example.WalletApp.exception,GlobalExceptionHandler,119,50,0,0,24,12,6,3,6,3
WalletApp,com.example.WalletApp.exception,ResourceNotFoundException,9,0,0,0,4,0,2,0,2,0
WalletApp,com.example.WalletApp.exception,ValidationException,9,0,0,0,4,0,2,0,2,0
WalletApp,com.example.WalletApp.exception,BusinessLogicException,9,0,0,0,4,0,2,0,2,0
